"","Date","Individual","Foreigner","Institution"
"153","18.11.30","1,293","-366","293"
"154","18.11.29","-2,716","3,253","-553"
"155","18.11.28","-1,542","932","281"
"156","18.11.27","-2,168","1,954","194"
"157","18.11.26","-4,217","-372","4,506"
"158","18.11.23","967","372","-1,427"
"159","18.11.22","1,422","-434","-1,004"
"160","18.11.21","716","-3,908","3,272"
"161","18.11.20","298","-2,558","897"
"162","18.11.19","-584","-926","1,594"
"163","18.11.16","192","-206","92"
"164","18.11.15","-1,011","-1,700","2,721"
"165","18.11.14","699","-1,324","189"
"166","18.11.13","241","-3,030","2,755"
"167","18.11.12","-1,158","385","679"
"168","18.11.09","2,288","477","-3,097"
"169","18.11.08","-2,749","4,902","-2,285"
"170","18.11.07","969","-638","-603"
"171","18.11.06","1,718","30","-1,876"
"172","18.11.05","5,175","-638","-4,728"
"173","18.11.02","-4,638","4,408","126"
"174","18.11.01","1,088","2,923","-4,205"
"175","18.10.31","2,585","1,355","-4,123"
"176","18.10.30","-3,582","-1,862","5,199"
"177","18.10.29","-4,880","-1,593","6,364"
"178","18.10.26","573","-1,752","1,040"
"179","18.10.25","-2,814","-3,631","6,311"
"180","18.10.24","-2,612","-3,309","5,809"
"181","18.10.23","6,413","-5,624","-992"
"182","18.10.22","648","-1,111","450"
"183","18.10.19","-169","-1,715","1,879"
"184","18.10.18","2,641","-537","-2,166"
"185","18.10.17","-51","64","27"
"186","18.10.16","1,695","-664","-1,271"
"187","18.10.15","2,990","224","-3,271"
"188","18.10.12","-1,006","735","-59"
"189","18.10.11","2,165","-4,836","2,439"
"190","18.10.10","1,008","-2,297","1,156"
"191","18.10.08","1,330","-1,782","318"
"192","18.10.05","2,024","-3,307","1,116"
"193","18.10.04","5,811","-5,294","-602"
"194","18.10.02","3,089","-2,411","-849"
"195","18.10.01","1,242","-541","-877"
"196","18.09.28","1,305","-2,249","648"
"197","18.09.27","-1,362","2,283","-1,298"
"198","18.09.21","-2,021","8,233","-772"
"199","18.09.20","-4,134","2,929","998"
"200","18.09.19","-1,095","3,865","137"
"201","18.09.18","-475","-828","996"
"202","18.09.17","690","1,755","-2,741"
"203","18.09.14","-4,833","2,036","2,713"
"204","18.09.13","388","-2,690","1,987"
"205","18.09.12","1,840","-4,152","1,988"
"206","18.09.11","1,923","-1,891","-430"
"207","18.09.10","-412","1,211","-1,239"
"208","18.09.07","2,196","-7,719","5,057"
"209","18.09.06","1,148","-2,933","1,134"
"210","18.09.05","2,473","-971","-1,967"
"211","18.09.04","-340","219","-133"
"212","18.09.03","2,376","-2,173","-727"
"213","18.08.31","-1,687","3,967","-2,643"
"214","18.08.30","660","2,223","-3,215"
"215","18.08.29","-2,217","1,146","4,282"
"216","18.08.28","-1,647","1,426","-449"
"217","18.08.27","-2,427","2,373","-432"
"218","18.08.24","-1,995","770","582"
"219","18.08.23","-448","1,751","-1,932"
"220","18.08.22","1,368","2,082","-4,206"
"221","18.08.21","-1,512","1,064","-171"
"222","18.08.20","-98","-549","87"
"223","18.08.17","859","1,020","-2,534"
"224","18.08.16","1,783","-2,417","-70"
"225","18.08.14","-1,321","-121","918"
"226","18.08.13","1,029","-1,738","151"
"227","18.08.10","1,519","-1,147","-857"
"228","18.08.09","140","-2,243","1,427"
"229","18.08.08","-1,248","3,585","-1,157"
"230","18.08.07","-62","577","-1,097"
"231","18.08.06","179","41","-671"
"232","18.08.03","-886","1,433","-804"
"233","18.08.02","3,740","-490","-3,751"
"234","18.08.01","-651","1,725","-1,416"
"235","18.07.31","-317","-749","798"
"236","18.07.30","32","1,622","-2,002"
"237","18.07.27","-845","1,626","-799"
"238","18.07.26","-1,706","1,276","404"
"239","18.07.25","-1,283","-1,486","2,784"
"240","18.07.24","-3,043","631","2,397"
"241","18.07.23","-1,418","-325","2,330"
"242","18.07.20","526","-1,212","650"
"243","18.07.19","-321","525","-188"
