"","Date","Individual","Foreigner","Institution"
"658","16.11.08","187","-570","126"
"659","16.11.07","-860","-2,191","2,914"
"660","16.11.04","-110","-1,915","1,925"
"661","16.11.03","-1,355","-2,055","3,398"
"662","16.11.02","-1,301","-224","1,478"
"663","16.11.01","-912","140","659"
"664","16.10.31","-1,441","97","1,310"
"665","16.10.28","570","-339","-139"
"666","16.10.27","-37","277","-240"
"667","16.10.26","575","-857","299"
"668","16.10.25","-1,878","-678","2,424"
"669","16.10.24","-2,555","903","1,586"
"670","16.10.21","-670","440","111"
"671","16.10.20","-1,227","1,070","173"
"672","16.10.19","-164","2,276","-2,102"
"673","16.10.18","-2,844","1,875","864"
"674","16.10.17","-486","2,911","-2,437"
"675","16.10.14","-437","328","-10"
"676","16.10.13","3,754","1,944","-5,702"
"677","16.10.12","-698","-5,544","6,243"
"678","16.10.11","-1,542","-3,368","4,819"
"679","16.10.10","-3,040","-420","3,235"
"680","16.10.07","1,964","385","-2,369"
"681","16.10.06","475","919","-1,473"
"682","16.10.05","992","-26","-1,102"
"683","16.10.04","-894","1,793","-901"
"684","16.09.30","3,779","-1,558","-2,389"
"685","16.09.29","-2,133","1,809","252"
"686","16.09.28","864","-1,165","404"
"687","16.09.27","-2,646","225","2,547"
"688","16.09.26","-29","-176","-1,189"
"689","16.09.23","-2,912","-460","1,944"
"690","16.09.22","-1,320","1,266","-1,388"
"691","16.09.21","131","878","-2,269"
"692","16.09.20","1,155","987","-3,459"
"693","16.09.19","973","469","-2,733"
"694","16.09.13","2,989","2,476","-6,883"
"695","16.09.12","884","-2,183","1,363"
"696","16.09.09","913","-503","-483"
"697","16.09.08","41","1,800","-1,825"
"698","16.09.07","-202","814","-464"
"699","16.09.06","421","2,688","-3,089"
"700","16.09.05","-3,938","2,694","1,387"
"701","16.09.02","-172","2,162","-1,935"
"702","16.09.01","989","-1,407","385"
"703","16.08.31","105","204","-90"
"704","16.08.30","-1,726","503","1,276"
"705","16.08.29","-420","830","-394"
"706","16.08.26","-614","-3,841","1,905"
"707","16.08.25","-33","-3,207","2,531"
"708","16.08.24","-178","-475","-390"
"709","16.08.23","791","450","-2,163"
"710","16.08.22","863","-131","-1,839"
"711","16.08.19","531","2,186","-3,539"
"712","16.08.18","-90","1,886","-1,845"
"713","16.08.17","438","128","-876"
"714","16.08.16","-363","331","-206"
"715","16.08.12","-1,793","578","995"
"716","16.08.11","255","-176","-337"
"717","16.08.10","-1,893","3,077","-1,364"
"718","16.08.09","-3,140","2,072","762"
"719","16.08.08","-2,024","797","860"
"720","16.08.05","-1,990","2,470","-728"
"721","16.08.04","472","376","-1,090"
"722","16.08.03","2,538","-868","-1,962"
"723","16.08.02","1,062","528","-1,806"
"724","16.08.01","-1,049","3,074","-2,969"
"725","16.07.29","895","2,115","-3,196"
"726","16.07.28","-1,101","1,961","-801"
"727","16.07.27","-1,379","2,436","-1,035"
"728","16.07.26","-1,733","1,926","168"
"729","16.07.25","-810","1,934","-1,077"
"730","16.07.22","-1,201","720","423"
"731","16.07.21","334","446","-823"
"732","16.07.20","320","1,794","-2,214"
"733","16.07.19","1,178","3,132","-4,255"
"734","16.07.18","-22","2,238","-2,139"
"735","16.07.15","-1,882","4,902","-3,066"
"736","16.07.14","-1,367","3,675","-2,281"
"737","16.07.13","-1,874","5,802","-3,803"
"738","16.07.12","-1,942","1,922","-484"
"739","16.07.11","-3,904","2,698","832"
"740","16.07.08","2,047","407","-2,898"
"741","16.07.07","-903","1,693","-1,196"
"742","16.07.06","5,113","-4,277","-1,384"
"743","16.07.05","1,382","134","-2,108"
"744","16.07.04","-665","1,602","-1,454"
"745","16.07.01","-2,053","2,517","-908"
"746","16.06.30","382","4,040","-2,486"
"747","16.06.29","-224","564","-633"
"748","16.06.28","1,675","-3,686","1,542"
"749","16.06.27","-2,164","-2,393","4,082"
"750","16.06.24","349","-1,467","553"
"751","16.06.23","-2,647","276","1,891"
"752","16.06.22","-2,508","283","1,729"
"753","16.06.21","908","-1,120","-304"
"754","16.06.20","-1,812","188","1,161"
"755","16.06.17","-72","-1,022","569"
"756","16.06.16","1,164","443","-2,096"
"757","16.06.15","1,681","-211","-572"
"758","16.06.14","2,269","-1,058","-1,806"
"759","16.06.13","1,737","-1,480","-738"
"760","16.06.10","-1,141","-276","895"
"761","16.06.09","-2,281","4,132","-1,958"
"762","16.06.08","-3,145","3,095","-384"
"763","16.06.07","-4,358","2,604","1,479"
"764","16.06.03","-1,141","-1,296","3,436"
"765","16.06.02","-618","3,876","-1,977"
"766","16.06.01","-885","2,401","-1,895"
"767","16.05.31","-1,607","-1,296","2,104"
"768","16.05.30","-350","1,210","-1,246"
"769","16.05.27","-1,760","1,514","-107"
"770","16.05.26","-955","59","644"
"771","16.05.25","-3,363","1,249","2,076"
"772","16.05.24","789","-598","-614"
"773","16.05.23","-675","26","334"
"774","16.05.20","-617","-1,277","1,508"
"775","16.05.19","310","-205","-423"
"776","16.05.18","1,214","356","-1,974"
"777","16.05.17","832","-535","-521"
"778","16.05.16","-51","151","-397"
"779","16.05.13","2,184","-1,437","-1,156"
"780","16.05.12","1,105","243","-1,283"
"781","16.05.11","1,308","704","-2,414"
"782","16.05.10","-1,248","355","410"
"783","16.05.09","1,192","-991","-527"
"784","16.05.04","2,978","1,719","-4,904"
"785","16.05.03","685","868","-1,770"
"786","16.05.02","1,803","-317","-1,778"
"787","16.04.29","1,095","639","-2,031"
"788","16.04.28","883","-2,033","1,165"
"789","16.04.27","776","1,818","-2,579"
"790","16.04.26","-886","1,358","-443"
"791","16.04.25","-414","2,081","-1,598"
"792","16.04.22","385","1,551","-1,847"
"793","16.04.21","-3,020","1,598","1,479"
"794","16.04.20","-450","1,117","-586"
"795","16.04.19","-1,526","286","1,396"
"796","16.04.18","-482","1,996","-1,392"
"797","16.04.15","-1,094","1,028","250"
"798","16.04.14","-7,912","5,503","1,741"
"799","16.04.12","-885","1,160","-1,028"
"800","16.04.11","810","-156","-1,284"
"801","16.04.08","486","1,651","-2,800"
"802","16.04.07","298","2,259","-3,185"
"803","16.04.06","1,196","1,172","-2,994"
"804","16.04.05","1,944","-1,926","-733"
"805","16.04.04","615","574","-1,931"
"806","16.04.01","2,851","-2,106","-466"
"807","16.03.31","821","-2,100","575"
"808","16.03.30","-1,266","371","68"
"809","16.03.29","-1,845","1,474","-265"
"810","16.03.28","-251","-126","-320"
"811","16.03.25","-707","-424","409"
"812","16.03.24","592","455","-1,732"
"813","16.03.23","-436","115","-451"
"814","16.03.22","-1,151","1,360","-884"
"815","16.03.21","1,035","1,353","-3,130"
"816","16.03.18","297","2,783","-3,429"
"817","16.03.17","-2,685","7,364","-1,455"
"818","16.03.16","-459","976","-908"
"819","16.03.15","95","631","-1,314"
"820","16.03.14","1,352","819","-2,450"
"821","16.03.11","-568","1,475","-1,501"
"822","16.03.10","-1,219","6,503","-5,820"
"823","16.03.09","-46","-207","-260"
"824","16.03.08","1,060","-961","-613"
"825","16.03.07","-536","2,011","-1,988"
"826","16.03.04","-455","1,598","-1,321"
"827","16.03.03","-3,148","4,960","-2,354"
"828","16.03.02","-4,110","3,760","-154"
"829","16.02.29","-538","1,719","-1,893"
"830","16.02.26","-427","2,424","1,634"
"831","16.02.25","1,008","197","-112"
"832","16.02.24","-327","-200","-166"
"833","16.02.23","-156","-67","-524"
"834","16.02.22","-537","335","-473"
"835","16.02.19","-1,784","1,669","-684"
"836","16.02.18","-3,020","858","1,368"
"837","16.02.17","-1,588","-220","694"
"838","16.02.16","-2,307","813","837"
"839","16.02.15","-1,241","-1,257","2,207"
"840","16.02.12","-1,903","-3,017","4,287"
"841","16.02.11","430","-1,662","615"
"842","16.02.05","-1,527","-14","5,659"
"843","16.02.04","-3,599","1,480","1,703"
"844","16.02.03","1,242","-1,912","-12"
"845","16.02.02","277","-321","-543"
"846","16.02.01","-2,393","1,826","32"
"847","16.01.29","-1,771","1,750","-652"
"848","16.01.28","-1,029","-172","16,441"
"849","16.01.27","-3,036","322","2,683"
"850","16.01.26","3,172","-1,914","-1,364"
"851","16.01.25","-1,860","-826","2,576"
"852","16.01.22","-2,013","-1,577","3,461"
"853","16.01.21","-271","-2,975","3,156"
"854","16.01.20","3,004","-2,278","-842"
"855","16.01.19","879","-2,792","1,772"
"856","16.01.18","121","-3,463","3,186"
"857","16.01.15","2,517","-2,168","-680"
"858","16.01.14","2,957","-3,730","436"
"859","16.01.13","-1,885","-503","2,206"
"860","16.01.12","1,441","-2,213","-15"
"861","16.01.11","2,569","-1,130","861"
"862","16.01.08","-472","-1,500","1,232"
"863","16.01.07","1,844","-2,680","79"
"864","16.01.06","1,029","1,642","-692"
"865","16.01.05","167","-1,894","1,000"
"866","16.01.04","4,157","-1,567","-3,471"
"867","15.12.30","2,297","-365","-2,822"
"868","15.12.29","2,643","-933","-2,774"
"869","15.12.28","-1,952","-323","1,497"
"870","15.12.24","-3,624","-71","3,509"
"871","15.12.23","-4,810","-61","4,404"
"872","15.12.22","-2,716","-72","2,166"
"873","15.12.21","-1,420","-1,208","2,255"
"874","15.12.18","-663","-1,420","1,759"
"875","15.12.17","-1,761","-652","1,779"
"876","15.12.16","-3,954","-1,610","5,339"
"877","15.12.15","-92","-3,562","2,750"
"878","15.12.14","-1,478","-2,959","3,437"
"879","15.12.11","-321","-2,306","1,178"
"880","15.12.10","165","-3,565","2,303"
"881","15.12.09","-132","-2,443","1,490"
"882","15.12.08","598","-1,813","250"
"883","15.12.07","703","-1,478","-481"
"884","15.12.04","1,542","-3,634","652"
"885","15.12.03","2,111","-2,556","-805"
"886","15.12.02","1,221","-3,040","74"
"887","15.12.01","-2,128","1,107","470"
"888","15.11.30","3,660","-5,394","541"
"889","15.11.27","-1,364","-300","213"
"890","15.11.26","-2,903","643","1,599"
"891","15.11.25","153","-1,966","756"
"892","15.11.24","-1,250","-1,831","2,295"
"893","15.11.23","-1,980","-1,056","1,681"
"894","15.11.20","-1,175","-1,784","1,445"
"895","15.11.19","-7,678","2,876","3,384"
"896","15.11.18","400","-1,426","239"
"897","15.11.17","-835","-1,656","1,569"
"898","15.11.16","1,165","-2,356","112"
"899","15.11.13","1,111","-2,102","-446"
"900","15.11.12","1,057","-2,200","-235"
"901","15.11.11","1,362","-2,246","65"
"902","15.11.10","3,969","-673","-1,681"
"903","15.11.09","734","30","-1,885"
"904","15.11.06","552","-513","-1,373"
"905","15.11.05","457","-303","-1,272"
"906","15.11.04","-2,256","1,150","-384"
"907","15.11.03","-3,066","298","1,014"
"908","15.11.02","-228","1,325","-2,494"
"909","15.10.30","1,438","-277","-1,300"
"910","15.10.29","731","-285","-495"
"911","15.10.28","177","-2,215","1,722"
"912","15.10.27","277","-124","-182"
"913","15.10.26","-1,620","1,589","10"
"914","15.10.23","-2,813","1,123","1,626"
"915","15.10.22","2,368","-2,868","252"
"916","15.10.21","-780","-60","455"
"917","15.10.20","-1,312","373","782"
"918","15.10.19","-442","631","-266"
"919","15.10.16","849","-2,155","1,241"
"920","15.10.15","-2,912","382","2,324"
"921","15.10.14","536","-1,114","388"
"922","15.10.13","-331","1,040","-901"
"923","15.10.12","-2,672","1,330","859"
"924","15.10.08","-2,031","1,885","-378"
"925","15.10.07","-2,109","879","874"
"926","15.10.06","-1,627","1,380","913"
"927","15.10.05","-1,359","-161","734"
"928","15.10.02","1,059","-1,280","-124"
"929","15.10.01","-3,055","1,007","1,712"
"930","15.09.30","-356","1,480","-1,510"
"931","15.09.25","861","-3,002","1,516"
"932","15.09.24","5,900","-2,203","624"
"933","15.09.23","3,892","-2,997","1,526"
"934","15.09.22","-1,017","-198","1,129"
"935","15.09.21","2,537","-1,926","-1,106"
"936","15.09.18","-1,981","1,703","-105"
"937","15.09.17","-2,685","1,227","1,344"
"938","15.09.16","-5,911","2,185","3,590"
"939","15.09.15","-1,341","-1,183","2,111"
"940","15.09.14","503","-596","-317"
"941","15.09.11","324","-567","-348"
"942","15.09.10","-3,778","-2,323","6,004"
"943","15.09.09","-3,886","-1,477","5,382"
"944","15.09.08","235","-2,506","1,749"
"945","15.09.07","-220","-2,867","2,677"
"946","15.09.04","2,041","-231","-2,225"
"947","15.09.03","1,423","-1,211","-406"
"948","15.09.02","-294","-885","665"
"949","15.09.01","2,368","-77","-2,784"
"950","15.08.31","-68","-367","333"
"951","15.08.28","-591","-383","1,158"
"952","15.08.27","1,905","-3,483","1,205"
"953","15.08.26","1,106","-5,505","3,913"
"954","15.08.25","3,027","-5,289","2,146"
"955","15.08.24","2,980","-7,291","4,010"
"956","15.08.21","-5,329","-4,463","9,238"
"957","15.08.20","-378","-2,936","2,885"
"958","15.08.19","-2,192","-256","1,675"
"959","15.08.18","-1,018","-189","839"
"960","15.08.17","1,349","-3,223","1,543"
"961","15.08.13","-275","-2,168","1,993"
"962","15.08.12","197","-3,036","2,635"
"963","15.08.11","756","-820","-209"
"964","15.08.10","672","-584","-26"
"965","15.08.07","1,517","-307","-1,731"
"966","15.08.06","1,759","-1,004","-1,438"
"967","15.08.05","-642","-261","178"
"968","15.08.04","-1,735","573","747"
"969","15.08.03","550","-89","-1,051"
"970","15.07.31","-1,401","1,668","-902"
"971","15.07.30","-252","-812","933"
"972","15.07.29","31","11","-341"
"973","15.07.28","-875","-1,256","2,071"
"974","15.07.27","-713","-11","360"
"975","15.07.24","3,833","-2,585","-1,488"
"976","15.07.23","1,717","-1,889","59"
"977","15.07.22","4,229","-3,758","-287"
"978","15.07.21","935","-1,285","385"
"979","15.07.20","1,303","-190","-1,024"
"980","15.07.17","3,575","-755","-2,929"
"981","15.07.16","-423","1,815","988"
"982","15.07.15","609","2,351","-2,952"
"983","15.07.14","1,682","-384","-1,213"
"984","15.07.13","273","45","-105"
"985","15.07.10","2,328","-714","-1,567"
"986","15.07.09","1,107","-3,496","2,324"
"987","15.07.08","2,963","-3,985","1,147"
"988","15.07.07","2,503","-1,033","-1,509"
"989","15.07.06","4,891","-2,806","-2,189"
"990","15.07.03","1,210","-119","-705"
"991","15.07.02","-20","1,127","-825"
"992","15.07.01","-748","64","736"
"993","15.06.30","-310","-513","835"
"994","15.06.29","929","-1,125","230"
"995","15.06.26","-169","590","-338"
"996","15.06.25","-319","61","386"
"997","15.06.24","-246","541","-148"
"998","15.06.23","-1,181","-105","1,429"
"999","15.06.22","1,048","-1,240","261"
"1000","15.06.19","1,117","-2,842","1,904"
"1001","15.06.18","14","-2,646","2,583"
"1002","15.06.17","637","-1,545","924"
"1003","15.06.16","1,870","-3,137","1,203"
"1004","15.06.15","117","1,225","-1,374"
"1005","15.06.12","2,217","-826","-1,442"
"1006","15.06.11","2,541","-1,642","-968"
"1007","15.06.10","2,793","-1,962","-855"
"1008","15.06.09","1,620","-1,454","-382"
"1009","15.06.08","676","-741","-159"
"1010","15.06.05","-543","1,094","-614"
"1011","15.06.04","-99","3,746","-3,598"
"1012","15.06.03","-886","1,499","-749"
"1013","15.06.02","2,245","123","-2,132"
"1014","15.06.01","476","391","-891"
"1015","15.05.29","-1,702","2,551","-825"
"1016","15.05.28","-469","2,484","-2,026"
"1017","15.05.27","4,215","-2,310","-2,022"
"1018","15.05.26","-450","-100","802"
"1019","15.05.22","-3,470","2,945","457"
"1020","15.05.21","1,978","608","-2,521"
"1021","15.05.20","-755","1,344","-425"
"1022","15.05.19","880","776","-1,685"
"1023","15.05.18","251","1,621","-1,768"
"1024","15.05.15","2,364","4,794","-656"
"1025","15.05.14","1,127","235","-1,123"
"1026","15.05.13","-720","775","-21"
"1027","15.05.12","755","54","-921"
"1028","15.05.11","832","-461","-570"
"1029","15.05.08","1,978","-239","-1,715"
"1030","15.05.07","1,685","-672","-1,084"
"1031","15.05.06","1,106","937","-2,185"
"1032","15.05.04","-105","1,295","-1,141"
"1033","15.04.30","1,089","716","-1,628"
"1034","15.04.29","2,317","-603","-1,374"
"1035","15.04.28","-663","-7","714"
"1036","15.04.27","323","2,080","-2,462"
"1037","15.04.24","-805","5,339","-4,347"
"1038","15.04.23","-4,577","4,397","343"
"1039","15.04.22","-3,334","7,431","-3,951"
"1040","15.04.21","2,274","2,452","-4,748"
"1041","15.04.20","324","2,839","-3,048"
"1042","15.04.17","-1,486","2,816","-1,081"
"1043","15.04.16","-1,018","3,703","-2,681"
"1044","15.04.15","182","3,224","-3,449"
"1045","15.04.14","-2,210","3,926","-1,481"
"1046","15.04.13","222","2,770","-2,847"
"1047","15.04.10","-3,044","2,879","220"
"1048","15.04.09","1,534","1,533","-2,287"
"1049","15.04.08","-1,368","917","600"
"1050","15.04.07","627","440","-570"
"1051","15.04.06","1,213","-215","-1,085"
"1052","15.04.03","-1,315","432","896"
"1053","15.04.02","997","-183","-705"
"1054","15.04.01","1,223","-707","-829"
"1055","15.03.31","-267","1,374","-1,068"
"1056","15.03.30","160","763","-782"
"1057","15.03.27","1,544","-800","-332"
"1058","15.03.26","1,875","-1,138","-683"
"1059","15.03.25","1,016","1,159","-1,759"
"1060","15.03.24","401","630","-849"
"1061","15.03.23","-1,138","1,437","-86"
"1062","15.03.20","191","2,187","-2,217"
"1063","15.03.19","-2,325","3,996","-1,431"
"1064","15.03.18","-608","3,299","-2,428"
"1065","15.03.17","-5,949","4,971","967"
"1066","15.03.16","80","31","-257"
"1067","15.03.13","-635","1,050","-476"
"1068","15.03.12","1,816","-1,182","-804"
"1069","15.03.11","2,605","903","-3,547"
"1070","15.03.10","1,183","800","-2,038"
"1071","15.03.09","2,333","-627","-1,834"
"1072","15.03.06","-1,407","2,828","-1,519"
"1073","15.03.05","278","1,233","-1,163"
"1074","15.03.04","931","2,353","-3,265"
"1075","15.03.03","-46","1,793","-1,817"
"1076","15.03.02","-509","1,581","-1,060"
"1077","15.02.27","841","838","-1,638"
"1078","15.02.26","-1,388","2,308","-1,006"
"1079","15.02.25","-2,996","2,074","1,118"
"1080","15.02.24","-1,201","796","486"
"1081","15.02.23","-930","1,272","-105"
"1082","15.02.17","-788","-256","1,255"
"1083","15.02.16","-326","1,327","-948"
"1084","15.02.13","-2,328","1,735","656"
"1085","15.02.12","232","-592","334"
"1086","15.02.11","-1,459","1,000","720"
"1087","15.02.10","944","-1,298","396"
"1088","15.02.09","525","-1,077","494"
"1089","15.02.06","-9,129","4,297","4,710"
"1090","15.02.05","2,193","-1,140","-1,099"
"1091","15.02.04","-2,450","2,247","268"
"1092","15.02.03","145","-295","143"
"1093","15.02.02","315","42","-506"
"1094","15.01.30","1,441","-951","-324"
"1095","15.01.29","1,090","-2,432","1,233"
"1096","15.01.28","-1,307","-693","1,863"
"1097","15.01.27","-2,022","824","1,029"
"1098","15.01.26","735","-1,091","-842"
"1099","15.01.23","-1,101","987","-955"
"1100","15.01.22","-863","615","-893"
"1101","15.01.21","-114","704","-1,587"
"1102","15.01.20","-2,112","320","1,705"
"1103","15.01.19","-1,438","-256","1,628"
"1104","15.01.16","2,689","-3,001","-1,270"
"1105","15.01.15","291","-2,066","425"
"1106","15.01.14","719","-906","-836"
"1107","15.01.13","2,721","-541","-3,079"
"1108","15.01.12","-19","-814","-117"
"1109","15.01.09","-2,816","1,592","778"
"1110","15.01.08","-1,486","1,938","-261"
"1111","15.01.07","1,256","-2,210","-37"
"1112","15.01.06","2,731","-3,309","-804"
"1113","15.01.05","575","555","-2,306"
"1114","15.01.02","1,264","286","-2,040"
"1115","14.12.30","1,479","-992","-2,026"
"1116","14.12.29","1,273","-1,197","-1,660"
"1117","14.12.26","-3,681","658","2,995"
"1118","14.12.24","-2,317","531","1,542"
"1119","14.12.23","-1,392","-1,166","1,447"
"1120","14.12.22","-1,348","-559","1,869"
"1121","14.12.19","-1,823","-24","1,833"
"1122","14.12.18","-627","-5,220","4,834"
"1123","14.12.17","-904","-4,086","3,952"
"1124","14.12.16","1,202","-4,899","3,459"
"1125","14.12.15","261","-3,044","1,650"
"1126","14.12.12","-214","-2,488","1,840"
"1127","14.12.11","3,383","-7,068","2,010"
"1128","14.12.10","1,094","-1,309","-259"
"1129","14.12.09","-394","2,287","-97"
"1130","14.12.08","-313","1,065","-714"
"1131","14.12.05","-626","2,304","-1,748"
"1132","14.12.04","-2,679","437","1,995"
"1133","14.12.03","-1,027","460","-145"
"1134","14.12.02","-370","433","-895"
"1135","14.12.01","1,226","622","-2,096"
"1136","14.11.28","940","524","-1,512"
"1137","14.11.27","-128","-192","375"
"1138","14.11.26","-698","766","-70"
"1139","14.11.25","-4,158","3,875","423"
"1140","14.11.24","-4,434","3,493","866"
"1141","14.11.21","-1,495","581","701"
"1142","14.11.20","-892","3,855","1,426"
"1143","14.11.19","-582","3,756","69"
"1144","14.11.18","-2,925","2,402","707"
"1145","14.11.17","-1,775","-327","1,684"
"1146","14.11.14","-1,825","-2,412","3,834"
"1147","14.11.13","549","1,112","-2,038"
"1148","14.11.12","-324","-169","-305"
"1149","14.11.11","-1,274","1,092","-481"
"1150","14.11.10","-796","424","-48"
"1151","14.11.07","-48","-974","768"
"1152","14.11.06","-1,351","-684","1,610"
"1153","14.11.05","-869","-1,375","1,881"
"1154","14.11.04","351","-242","-487"
"1155","14.11.03","616","-52","-1,034"
"1156","14.10.31","-424","2,784","-2,923"
"1157","14.10.30","1,474","-230","-1,376"
"1158","14.10.29","-4,070","1,238","2,762"
"1159","14.10.28","1,092","-1,486","438"
"1160","14.10.27","-954","-102","985"
"1161","14.10.24","1,036","3,556","3,952"
"1162","14.10.23","669","-1,948","1,231"
"1163","14.10.22","-1,103","438","684"
"1164","14.10.21","1,169","-629","-552"
"1165","14.10.20","-1,544","206","1,175"
"1166","14.10.17","806","-3,095","2,135"
"1167","14.10.16","-656","-218","836"
"1168","14.10.15","765","-1,814","815"
"1169","14.10.14","295","-2,924","2,487"
"1170","14.10.13","-762","-3,162","3,739"
"1171","14.10.10","845","-1,866","922"
"1172","14.10.08","574","-1,565","753"
"1173","14.10.07","233","-1,791","1,421"
"1174","14.10.06","1,396","-1,998","456"
"1175","14.10.02","1,002","-3,862","2,599"
"1176","14.10.01","1,445","-1,974","352"
"1177","14.09.30","-1,035","1,849","164"
"1178","14.09.29","-101","558","-646"
"1179","14.09.26","44","-234","199"
"1180","14.09.25","35","-1,261","1,175"
"1181","14.09.24","-1,107","-270","1,298"
"1182","14.09.23","-333","-2,580","2,853"
"1183","14.09.22","1,955","-2,405","324"
"1184","14.09.19","1,056","-2,416","2,004"
"1185","14.09.18","2,924","-1,086","-1,740"
"1186","14.09.17","-1,637","259","1,413"
"1187","14.09.16","-650","-993","1,501"
"1188","14.09.15","-88","87","-41"
"1189","14.09.12","-119","-585","563"
"1190","14.09.11","2,627","-696","-2,019"
"1191","14.09.05","285","511","-810"
"1192","14.09.04","-584","694","27"
"1193","14.09.03","1,241","1,322","-2,239"
"1194","14.09.02","1,858","333","-2,173"
"1195","14.09.01","234","639","-773"
"1196","14.08.29","209","1,550","-1,216"
"1197","14.08.28","-792","1,274","-318"
"1198","14.08.27","-749","509","439"
"1199","14.08.26","-1,283","1,009","387"
"1200","14.08.25","-629","-268","946"
"1201","14.08.22","-339","1,053","-483"
"1202","14.08.21","3,817","25","-3,722"
"1203","14.08.20","947","2,345","-2,384"
"1204","14.08.19","-1,499","1,831","-132"
"1205","14.08.18","1,827","12","-1,636"
"1206","14.08.14","-226","1,930","-1,402"
"1207","14.08.13","-2,674","4,110","-1,472"
"1208","14.08.12","-283","983","-627"
"1209","14.08.11","467","-147","-339"
"1210","14.08.08","2,734","-2,083","-431"
"1211","14.08.07","1,862","-506","-1,305"
"1212","14.08.06","811","1,843","70"
"1213","14.08.05","2,682","1,203","-3,104"
"1214","14.08.04","259","2,214","-2,529"
"1215","14.08.01","-1,817","-650","2,536"
"1216","14.07.31","-3,170","4,927","-1,542"
"1217","14.07.30","-5,756","6,235","-349"
"1218","14.07.29","-4,753","3,632","1,310"
"1219","14.07.28","-2,662","1,759","1,205"
"1220","14.07.25","-801","503","962"
"1221","14.07.24","10","1,743","-1,679"
"1222","14.07.23","-631","993","-297"
"1223","14.07.22","-585","1,329","-703"
"1224","14.07.21","420","979","-1,346"
"1225","14.07.18","1,280","1,212","-2,532"
"1226","14.07.17","-1,086","2,277","-1,216"
"1227","14.07.16","-349","1,530","-1,203"
"1228","14.07.15","-1,408","2,817","-1,480"
"1229","14.07.14","231","-66","-95"
"1230","14.07.11","2,033","669","-2,535"
"1231","14.07.10","760","1,869","-2,469"
"1232","14.07.09","1,871","-689","-1,085"
"1233","14.07.08","273","984","-1,331"
"1234","14.07.07","703","1,875","-2,495"
"1235","14.07.04","315","335","-648"
"1236","14.07.03","-238","1,592","-1,168"
"1237","14.07.02","-2,445","3,148","-500"
"1238","14.07.01","385","1,006","-1,279"
"1239","14.06.30","-2,006","1,895","266"
"1240","14.06.27","-4,662","3,090","1,646"
"1241","14.06.26","-1,778","913","1,058"
"1242","14.06.25","49","-238","200"
"1243","14.06.24","-2,519","253","2,273"
"1244","14.06.23","-1,260","7","1,412"
"1245","14.06.20","2,683","-917","767"
"1246","14.06.19","104","-413","609"
"1247","14.06.18","1,389","1,374","-2,786"
"1248","14.06.17","117","317","-444"
"1249","14.06.16","-122","353","44"
"1250","14.06.13","3,598","-2,551","-850"
"1251","14.06.12","1,520","112","-1,595"
"1252","14.06.11","-1,280","1,455","-1"
"1253","14.06.10","-2,227","2,126","84"
"1254","14.06.09","-188","190","-47"
"1255","14.06.05","1,867","649","-4,350"
"1256","14.06.03","442","184","-597"
"1257","14.06.02","-575","2,132","-1,611"
"1258","14.05.30","799","293","324"
"1259","14.05.29","-147","938","-660"
"1260","14.05.28","-1,739","1,086","669"
"1261","14.05.27","737","190","-876"
"1262","14.05.26","248","533","-752"
"1263","14.05.23","-610","1,321","-664"
"1264","14.05.22","-2,344","2,886","-484"
"1265","14.05.21","-374","1,880","-1,412"
"1266","14.05.20","-425","2,613","-2,308"
"1267","14.05.19","-900","1,805","-897"
"1268","14.05.16","56","4,801","-4,719"
"1269","14.05.15","-1,973","3,690","-1,534"
"1270","14.05.14","-4,924","3,447","1,558"
"1271","14.05.13","-3,536","2,105","1,328"
"1272","14.05.12","58","-1,029","835"
"1273","14.05.09","-39","-568","467"
"1274","14.05.08","1,627","-2,117","398"
"1275","14.05.07","2,528","-3,267","610"
"1276","14.05.02","1,320","-1,516","96"
"1277","14.04.30","887","-814","-206"
"1278","14.04.29","575","-1,589","887"
"1279","14.04.28","511","-1,286","738"
"1280","14.04.25","1,999","366","-2,556"
"1281","14.04.24","502","706","-1,211"
"1282","14.04.23","196","2,515","343"
"1283","14.04.22","-922","1,027","113"
"1284","14.04.21","496","701","-1,207"
"1285","14.04.18","-2,765","1,165","1,570"
"1286","14.04.17","-55","1,634","-1,643"
"1287","14.04.16","585","446","-1,034"
"1288","14.04.15","1,891","1,197","-3,110"
"1289","14.04.14","71","-48","-134"
"1290","14.04.11","898","1,190","-1,808"
"1291","14.04.10","-1,656","3,067","-1,285"
"1292","14.04.09","-4,084","3,601","675"
"1293","14.04.08","-917","756","220"
"1294","14.04.07","570","1,619","-2,128"
"1295","14.04.04","-704","1,140","-550"
"1296","14.04.03","-1,288","3,556","-2,386"
"1297","14.04.02","-1,716","4,373","-2,632"
"1298","14.04.01","-1,089","2,138","-1,057"
"1299","14.03.31","-1,858","3,177","-1,034"
"1300","14.03.28","-1,674","2,336","-713"
"1301","14.03.27","-2,066","2,321","-409"
"1302","14.03.26","-3,008","770","2,032"
"1303","14.03.25","-114","-878","812"
"1304","14.03.24","-1,097","448","516"
"1305","14.03.21","-294","-669","1,139"
"1306","14.03.20","2,398","-2,109","-426"
"1307","14.03.19","-142","-673","555"
"1308","14.03.18","-802","-1,479","2,036"
"1309","14.03.17","290","-2,276","1,704"
"1310","14.03.14","2,275","-4,764","2,265"
"1311","14.03.13","2,259","-4,973","2,580"
